Year,PE Ratio,PEG Ratio,Return on Equity,Return on Invested Capital,Net Profit Margin,FCF Yield,Debt / Equity Ratio,Current Ratio,Forward PE Ratio,PS Ratio,PB Ratio,P/FCF Ratio,P/OCF Ratio,EV/EBITDA,Price to Fair Value,Return on Assets,Return on Capital Employed,Gross Profit Margin,Operating Profit Margin,EBITDA Margin,EBIT Margin,Pretax Profit Margin,FCF Margin,Bottom Line Profit Margin,Continuous Operations Margin,Free Cash Flow Per Share,Revenue Per Share,Net Income Per Share,Operating Cash Flow Per Share,Book Value Per Share,Tangible Book Value Per Share,Cash Per Share,Shareholders' Equity Per Share,Interest Debt Per Share,CapEx Per Share,Dividend Yield,Dividend Per Share,Payout Ratio,Dividend Yield %,Quick Ratio,Cash Ratio,Debt to Assets Ratio,Debt to Capital Ratio,LT Debt to Capital Ratio,Debt to Market Cap,Financial Leverage Ratio,Solvency Ratio,Interest Coverage,OCF Ratio,OCF/S Ratio,FCF/OCF Ratio,Debt Service Coverage,OCF Coverage Ratio,CapEx Coverage Ratio,Dividend & CapEx Coverage,ST OCF Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Payables Turnover,Fixed Asset Turnover,Working Capital Turnover,Effective Tax Rate,Net Income / EBT,EBT / EBIT
2015,20.246753247693498,-0.4108899923796622,0.0945,0.0322,0.06733262734830354,0.0118,0.2264900972419809,0.7896657773825404,23.4,1.363267091440001,1.9143091776890835,84.84303709139854,10.775938075080742,8.976244636088035,1.9143091776890835,0.048,0.0456,0.23437591201314134,0.05371184137016685,0.1681231082241697,0.09287733371134106,0.0915807115995564,0.02,0.06733262734830354,0.06900447772394873,0.9187554179139897,57.178817334805935,3.8499999998212076,7.233708977992243,42.14975232002401,42.14975232002401,0.8832352940766299,40.719650152907754,9.296736841673527,6.314953560078253,0.036974165782891234,2.8821362227763716,0.7486068111455109,3.6974165782891233,0.4886986808952127,0.06864161849710983,0.11488071552865856,0.18466524740092985,0.09861317797549314,0.11452816661732784,1.9715240821726938,0.21380698727086303,41.42443729903537,0.562175781828961,0.12651029376203857,0.12701028209860268,1.8303360771771615,0.7843461627937033,1.1454888637221594,0.786521513737688,1.6173115872508261,0.7122444010238806,11.304278239458295,12.068125786163522,10.160340821068939,0.9532958407026887,-20.78817819379442,0.24651734498770828,0.735227169261586,1.7050376465109058
2014,12.16447368301353,4.075098683809551,0.1865,0.0734,0.08251608073990434,0.0307,0.16697916845853475,0.8186220661272106,15.03,1.003764692585986,2.268296745804735,32.52126637385729,8.76825703013565,6.069577740765464,2.268296745804735,0.093,0.1196,0.20460283427005493,0.08647949150607072,0.17562071021682038,0.13173139138046966,0.1310056964514533,0.03,0.08251608073990434,0.08529452810799153,2.8427552278320056,92.10325954165837,7.600000000747848,10.543714638183884,42.31507995496335,42.31507995496335,1.078769987806029,40.75745387854932,6.872484625522508,7.700959410351878,0.02924249469932256,2.7034686349523707,0.35571955719557197,2.924249469932256,0.5605805084090171,0.07141862516052172,0.0833235572672414,0.1430866745283019,0.06073988700808393,0.07266638594629377,2.003985114593547,0.2957744806416947,119.16783216783217,0.6980335122924821,0.11447710635490542,0.2696161007181488,2.883744508279824,1.5492599842038393,1.3691429958727848,1.0133872416891285,2.58277994046256,1.1276477640467764,18.7954191150018,14.070655860616231,12.396978565213953,1.559774090901895,-32.65296822569286,0.34892504357931436,0.6298663567693201,1.5148758875652837
2013,13.731343280577041,-0.5716481966592161,0.1872,0.0803,0.0774173312169111,0.0251,0.1304517738199916,0.8268919747922592,9.87,1.0630439508055394,2.571031327512744,39.78365176355714,9.960528211274882,6.213748152001282,2.571031327512744,0.0939,0.1465,0.21002005531846135,0.09576414565293843,0.17798382267676718,0.1371555665389843,0.13713418053588572,0.03,0.0774173312169111,0.07947989240464219,2.543758441317894,95.1983216905698,7.370000001612895,10.160103746852103,40.830207191255965,40.830207191255965,1.0505303869702358,39.36163628854047,5.13683118590011,7.616345305534209,0.02430889183012573,2.460059853208724,0.3337937384898711,2.4308891830125727,0.6019324075623222,0.06474820143884892,0.06545120066434454,0.11539791156165163,0.03609592342080335,0.049900846088802464,1.9931150612345765,0.2992069170780396,4477.888888888889,0.6262060119346383,0.10672566035225123,0.2503673687491651,3.201555288613517,1.9786774747786247,1.3339867533933292,1.0083063936781609,2.8412196356275303,1.2134552836151415,20.60440037186241,12.6941361003861,10.752005174644243,1.7272152678021753,-69.58842496899545,0.42042244979293375,0.5645370899828456,1.431999205975038
2012,8.924986631016044,0.5924223409406719,0.2706,0.1105,0.0994000119598945,0.0547,0.06982268498700735,1.005004755297089,6.47,0.8871437778648931,2.414965362980291,18.290944791999635,7.131091329891401,4.240026964114556,2.414965362980291,0.1345,0.185,0.22403983087823276,0.11047620313216348,0.21027487824162974,0.17508621090609489,0.17436197285103952,0.05,0.0994000119598945,0.1056036535262863,4.731849611063094,97.56028522039757,9.697493517718236,12.136992221261885,37.09161624891962,37.09161624891962,2.070440795159896,35.839023336214346,2.5730337078651684,7.40514261019879,0.025195142520323136,2.1806395851339673,0.2248663101604278,2.5195142520323137,0.7782784265423534,0.14939428428881024,0.034694947497715664,0.06526566127905142,0.043245269958467926,0.027836488218549636,2.012474150353002,0.37479877879544826,152.54128440366972,0.8757542213006128,0.12440505061914602,0.3898700373865053,16.054271356783918,4.8501856489076935,1.638995068716991,1.2661452110993396,15.37640295647413,1.3526535747989035,24.09249071654518,12.905050447309,10.368847849891976,1.9894734059193915,-213.93461265103056,0.394342402764017,0.5700785001143206,1.57827629758826
2011,10.0545670217623,0.2864862932228164,0.2659,0.1193,0.08791745266353909,0.059,0.11032021554962564,0.9413973292045674,6.19,0.8839719201881682,2.673906849358533,16.940522031742304,7.459400522424068,4.683169507487737,2.673906849358533,0.124,0.2134,0.23797451550117873,0.11584719578441596,0.1907526085103923,0.15738637215247875,0.15685749707191632,0.05,0.08791745266353909,0.0903712617417762,5.00338772566636,95.88539869225418,8.43000000065083,11.36284340077984,33.0022386776575,33.0022386776575,2.6000370191973237,31.698935219203253,3.547744764034251,6.359455675113479,0.02184863045466403,1.851889917337323,0.2196785192401364,2.1848630454664026,0.7475517708534933,0.1633959099412941,0.05145113154428912,0.09935891826937099,0.05543931774523119,0.040628279225729466,2.14417471955232,0.33259154003335134,219.04453441295547,0.7140829623895233,0.11850441835517708,0.4403288463275815,7.292787132445338,3.2492808078435975,1.7867635189669089,1.3837979747468434,7.177408896381793,1.4107421190628662,23.68796592119276,12.08604627089695,10.47684653654803,2.175627958111281,-114.03467220119643,0.4238639310919093,0.5604925126609062,1.3540034008576076
2010,11.726565988181221,0.20795110352374702,0.2074,0.0982,0.08229652144545761,0.0603,0.1022480403707462,0.9417399773282455,4.82,0.9650555893279298,2.4325363152840866,16.581153096277042,7.378001776382377,5.3602665568272085,2.4325363152840866,0.1007,0.1673,0.2514474839581223,0.10840121580547113,0.18366227625802095,0.1437838568051334,0.14308409321175278,0.06,0.08229652144545761,0.0848308004052685,4.409825997952917,75.76765609007165,6.235414534288639,9.910542476970317,31.254657113613103,31.254657113613103,1.6018423746161718,30.05916069600819,3.1265097236438075,5.500716479017401,0.023791179625925835,1.739611054247697,0.27898883782009193,2.3791179625925833,0.7345648460076957,0.12493414014976131,0.049631417143234935,0.092763186348106,0.07686746382004954,0.04054411194900658,2.0601475084956995,0.30180670221783207,154.91119691119692,0.7729631344498906,0.1308017561634583,0.4449631297378803,18.46340493237868,3.22452377780738,1.8016821108257974,1.3687975345641663,21.469179600886918,1.2235132722885194,21.351572133168926,11.464657415437987,9.001234567901234,1.8548168861627277,-1558.421052631579,0.40712626748994507,0.5751619177099265,1.319949155077015
2009,17.089941908713694,-0.3132561377004306,0.1744,0.0867,0.06353746832189242,0.018,0.08686883303638453,1.0609669426249977,6.72,1.085851642647878,2.9799860720455102,55.40509164284513,11.586401294043181,6.951570212946107,2.9799860720455102,0.0826,0.1555,0.30211275264217663,0.09287411474313133,0.15568657045969095,0.11641395583355028,0.11460801534390314,0.02,0.06353746832189242,0.06478317179832786,1.2307533112582782,62.79863410596027,3.9900662251655628,5.885347682119205,23.880794701986755,18.159561258278146,2.247930463576159,22.88265728476821,2.1012003311258276,4.654594370860927,0.024349451134296558,1.6603890728476822,0.4161307053941909,2.434945113429656,0.8390541864351434,0.2053936728068996,0.041166108784817614,0.07992577429394045,0.060570273071759925,0.029150751357960664,2.1102026788702077,0.26453604226200067,51.42700729927007,0.546243829354027,0.09371776577479131,0.20912159786201562,10.622685185185185,2.9607496095783445,1.264416877862256,0.9319656551091302,11.485460420032311,1.3005275947934838,18.330217259586256,10.97641526496654,8.737786763492325,2.1812228643721787,23.040470766894458,0.43474135204301695,0.5543893952899905,1.2340146192605208
2008,9.089886554621849,0.47113778198603407,0.4003,0.2262,0.09698077112795371,0.0983,0.08343292170141194,1.4718126272912424,9.78,0.8815442075328452,3.6386904793520114,10.172610438785359,6.882288321473419,4.033558357266535,3.6386904793520114,0.1983,0.4079,0.38371743895272775,0.15653537160234882,0.20684870399203908,0.18030016427967865,0.17885681932237849,0.09,0.09698077112795371,0.100512998683189,7.847543212274228,90.55700135948727,8.782287822878228,11.599339677607302,22.824431928529812,18.026995533113226,6.216158477374248,21.939211497378132,1.9611575063119053,3.7517964653330744,0.019603708764791915,1.5649640706933385,0.17819548872180452,1.9603708764791916,1.2346232179226069,0.6402647657841141,0.041328293547085754,0.07700792548410818,0.058546545545462125,0.02292938137356215,2.0187845792944716,0.521121153724362,108.45319465081724,1.2163951120162932,0.12808882254792206,0.6765508580996232,19.49853563293199,6.336870026525199,3.091676156952065,2.1816554646405613,24.885416666666668,2.0446126322066895,24.67448050832904,18.876123390818556,13.561066540821143,3.84254940418308,18.351260404982586,0.4380253486336439,0.5422257395349953,1.1425968296592637
2007,12.72961956411401,1.2504979218864938,0.3335,0.197,0.10264096387978294,0.0708,0.07856309850363824,1.4741905611194952,5.76,1.3065804218836043,4.245576210136742,14.118526573772224,9.940960934169263,5.854519256126544,4.245576210136742,0.1678,0.3427,0.4151840890077366,0.1591756371145277,0.21263436715691356,0.1816727368311972,0.18066174482056155,0.09,0.10264096387978294,0.10518108130650497,6.6359615863914945,71.70626348811638,7.360000000637951,9.424642207170026,22.843729132736023,22.843729132736023,6.252647131790429,22.06767594379902,1.80619945841807,2.788680620778531,0.014742242390917584,1.3812006896050684,0.18766313715833538,1.4742242390917584,1.2840238715873233,0.5827445465770339,0.039515536058029925,0.07284052144249513,0.055705921129163595,0.018504696327452774,1.988157224749922,0.45554042641203746,157.445,0.8917889971189463,0.13143401634268584,0.7041075343256029,19.498742364355014,5.436127953167468,3.379606161045038,2.260170375521558,21.822073017205202,1.6343676935914278,20.865993326720172,10.854622770919066,7.913505933855467,3.2733868899386938,14.48979143396019,0.4178010324710754,0.5681388939408777,1.1349836450824098
2006,11.47155688682,0.7182192137835126,0.347,0.3392,0.1045983555549671,0.0746,0.0733196303713854,1.5522666284286213,5.59,1.1999059860166297,3.980240478456396,13.396597002997574,9.193817656725845,3.906346903893367,3.980240478456396,0.1804,0.5845,0.43528804268672133,0.2634501568975333,0.29368040568273596,0.2634501568975333,0.1784845154712884,0.09,0.1045983555549671,0.1045983555549671,5.7201093667931895,63.8633367055625,6.679999999655007,8.33494886032903,19.252605568625942,19.252605568625942,4.776453670639393,19.252605568625942,1.4115939239777304,2.614839493535841,0.016834151280067926,1.290001012591605,0.1931139240506329,1.6834151280067926,1.3327939037630334,0.5785689411475511,0.038111544871355846,0.06831108674124936,0.05342191254604262,0.017935389021121136,1.9238168019394961,0.4841258521835867,0,1.0096073089292665,0.1305122671362559,0.6862800795357709,48.767332549941244,5.904636396310051,3.1875565903505367,2.1345171069727154,28.957696827262044,1.7242426317832111,19.90433078215419,13.047992536797734,8.501634508052943,3.3217078469833843,13.98777664598574,0.4139639773300495,0.5860360226699505,0.6774887423608877
2005,9.751736110420149,0.206104260495907,0.325,0.2254,0.09746951548505449,0.0973,0.07187055924307018,1.5838210205800418,0,0.9504969938207618,3.1688362354026585,10.272317725574506,7.319170419823839,4.67244612101268,3.1688362354026585,0.1734,0.3748,0.4253749865112766,0.16382594151289523,0.191485917772742,0.16382594151289523,0.16033236214524657,0.09,0.09746951548505449,0.09746951548505449,5.468094105009641,59.095399948831556,5.760000000408127,7.67436700857034,17.72575034722884,17.72575034722884,4.570854138159462,17.72575034722884,1.2739595904583818,2.206272903560699,0.021224406693438475,1.1921749239704391,0.2069748131746471,2.1224406693438476,1.382533958148876,0.6191504524154016,0.03835649314805482,0.06705152839893604,0.052978553055210126,0.022680427104475376,1.873752091090605,0.4774418676466047,0,1.0395404582460535,0.12986403366785368,0.7125140221862146,26.921513269339357,6.0240270304092105,3.478430522436592,2.2581976826007413,27.181253529079616,1.779249766001872,22.85183993133784,13.48711977878038,6.794538900762385,3.4639753294084663,16.685647408341023,0.3920783416341365,0.6079216583658635,0.978675053929883
2004,13.109974425432293,0.6339748826626959,0.2489,0.1684,0.08499001795091181,0.086,0.08149887967294311,1.404736976803704,0,1.1142169617534854,3.2634503340952867,11.62526351115701,8.189086636487385,6.139362332535958,3.2634503340952867,0.1297,0.2801,0.451249014377506,0.1431207744056906,0.17589209321052895,0.1431207744056906,0.13837636519200766,0.1,0.08499001795091181,0.08499001795091181,4.409362415811453,46.00540268147615,3.909999999737584,6.259550335150366,16.31734228078407,16.31734228078407,2.860489932693927,15.707302012368638,1.280127516692609,1.8501879193389135,0.02141379517881249,1.097671140865928,0.28073430714567704,2.1413795178812487,1.184011539982783,0.4311439938577511,0.04247244642930307,0.07535734082090705,0.04695183058753009,0.024973225062282653,1.9188647352490271,0.391935051592442,0,0.9434633908005863,0.13606120086567014,0.7044215925624522,11.13140243902439,4.8897865669842036,3.383197063240447,2.123422527098497,12.363109756097561,1.526380751423772,17.239063982291558,11.752632201585236,6.1458419450603134,2.74335183497639,23.87144573488186,0.38580538784219587,0.6141946121578041,0.9668503106318134
2003,12.654320987866107,0.13797291915802395,0.2392,0.2644,0.0871774919145004,0.0575,0.10615581382416726,1.1973115198249362,0,1.1031719656031904,3.0272417777790133,17.404849699405332,9.551352531721523,4.122207186501239,3.0272417777790133,0.1234,0.4174,0.4734171469331842,0.22988757305319812,0.2665539965469445,0.22988757305319812,0.129554426152437,0.06,0.0871774919145004,0.08494840681208407,2.355665271927102,37.16555648473363,3.2399999999457743,4.292585773986735,14.053104602275262,14.053104602275262,1.600569037630116,13.543682008141529,1.437740585749996,1.9369205020596332,0.02551484845349684,1.0461087865933705,0.3228730822873082,2.551484845349684,0.9639712395144063,0.27681967383942063,0.05476881763619045,0.09596822843354112,0.05023713703245978,0.03506684355487795,1.9382527943057333,0.3773354243588002,0,0.7424060855520241,0.11549903136120095,0.5487753526563267,11.435163917310502,2.9856469355683606,2.2161909946341085,1.439002221773379,5.950720400918772,1.4157725014058,14.50574969297756,10.150067876095273,4.567692037264897,2.350669270709284,38.88699763593381,0.34430332227992244,0.6729024588625414,0.5635555868975001
